Entity,Code,Year,secondhand_smoke,smoking,ambient_particulate_matter_pollution
Namibia,NAM,2019,227.71251,1149.8127,788.94696
Nauru,NRU,2019,2.8524544,11.126723,1.2442883
Nepal,NPL,2019,4435.625,34201.242,17948.246
Netherlands,NLD,2019,1798.7607,31530,4569.023
New Zealand,NZL,2019,346.54492,4791.743,302.63846
Nicaragua,NIC,2019,483.94037,1645.0736,1002.44604
Niger,NER,2019,1429.0615,1981.5424,2970.738
Nigeria,NGA,2019,9916.701,17350.297,68533.414
Niue,NIU,2019,1.0062395,2.5381055,0.4605621
North America (WB),,2019,38833.477,577443,51560.55
North Korea,PRK,2019,9859.216,43764.023,21589.86
North Macedonia,MKD,2019,889.5608,5306.518,2751.219
Northern Ireland,,2019,277.64163,3150.6904,315.86475
Northern Mariana Islands,MNP,2019,12.434893,59.913097,10.375974
Norway,NOR,2019,431.35165,4817.8135,393.10336
OECD Countries,,2019,152850.06,1807121.9,360426.06
Oman,OMN,2019,305.4584,811.5604,1552.9817
Pakistan,PAK,2019,30919.115,134289.33,114007.56
Palau,PLW,2019,11.202383,30.246752,4.510789
Palestine,PSE,2019,615.2765,2185.4202,1791.7094
Panama,PAN,2019,198.08716,1181.862,650.21936
Papua New Guinea,PNG,2019,2581.2363,7154.868,1180.9568
Paraguay,PRY,2019,688.97095,4411.321,1045.3679
Peru,PER,2019,1191.8062,4489.1074,8905.481
Philippines,PHL,2019,21669.04,95587.266,32018.838
Poland,POL,2019,7773.9785,77669.37,27762.098
Portugal,PRT,2019,1770.7301,12133.856,2085.8635
Puerto Rico,PRI,2019,408.1508,2788.5742,426.692
Qatar,QAT,2019,117.135544,418.07602,539.28107
Region of the Americas (WHO),,2019,107493.83,964914.1,218937.94
Romania,ROU,2019,6243.4194,38999.258,14576.54
Russia,RUS,2019,35692.75,291356.5,73859.35
Rwanda,RWA,2019,555.1276,4958.9927,1757.797
Saint Kitts and Nevis,KNA,2019,6.8676414,25.24599,10.848592
Saint Lucia,LCA,2019,15.822378,105.55112,80.2274
Saint Vincent and the Grenadines,VCT,2019,14.800424,61.582893,62.158226
Samoa,WSM,2019,66.26775,233.69977,40.66082
San Marino,SMR,2019,3.2020922,41.50752,5.658043
Sao Tome and Principe,STP,2019,6.2619705,43.60306,51.556385
Saudi Arabia,SAU,2019,4037.1528,12270.544,17794.857
Scotland,,2019,913.4386,13754.819,763.4767
Senegal,SEN,2019,1512.5475,3108.1174,3368.99
Serbia,SRB,2019,3479.788,24350.49,10609.429
Seychelles,SYC,2019,19.102999,105.67851,35.05817
Sierra Leone,SLE,2019,831.8259,2224.939,1541.9504
Singapore,SGP,2019,295.9782,2813.6875,1330.9814
Slovakia,SVK,2019,1280.4559,8224.509,3471.9695
Slovenia,SVN,2019,343.78473,2980.2622,822.86127
Solomon Islands,SLB,2019,272.1777,1026.3853,108.98637
Somalia,SOM,2019,1338.5298,5257.4604,769.9748
South Africa,ZAF,2019,7297.435,32835.53,24779.957
South Asia (WB),,2019,309318.56,1309399.2,1201871.5
South Korea,KOR,2019,4045.0486,51574.586,21837.008
South Sudan,SSD,2019,522.6718,1918.5267,1390.1044
South-East Asia Region (WHO),,2019,355276.47,1578752.4,1264075.6
Spain,ESP,2019,5658.1514,66330.67,8879.792
Sri Lanka,LKA,2019,3027.3582,11071.176,7261.2954
Sub-Saharan Africa (WB),,2019,61923.836,236282.4,233026
Sudan,SDN,2019,4567.514,16147.105,16634.408
Suriname,SUR,2019,94.948135,451.09125,260.6334
Sweden,SWE,2019,738.7833,13692.331,648.5018
Switzerland,CHE,2019,677.08295,10215.814,1373.6882
Syria,SYR,2019,3013.365,13239.907,10473.794
Taiwan,TWN,2019,5029.659,26645.164,11583.029
Tajikistan,TJK,2019,1364.1212,4634.4966,4757.811
Tanzania,TZA,2019,3615.7847,17913.928,6246.3525
Thailand,THA,2019,9434.584,62859.004,32210.973
Togo,TGO,2019,512.33374,2292.0486,1618.5715
Tokelau,TKL,2019,0.5304401,1.4512718,0.21179798
Tonga,TON,2019,26.472195,99.81634,20.436821
Trinidad and Tobago,TTO,2019,285.41824,1027.5529,890.0519
Tunisia,TUN,2019,2404.9507,10858.8125,7336.6826
Turkey,TUR,2019,14606.444,86170.26,41524.3
Turkmenistan,TKM,2019,1476.3649,4043.5923,3576.9028
Tuvalu,TUV,2019,4.913435,16.69395,2.0932796
Uganda,UGA,2019,1224.4451,6273.405,4586.221
Ukraine,UKR,2019,16077.706,113388.86,42915.56
United Arab Emirates,ARE,2019,936.59467,3725.7039,3251.8704
United Kingdom,GBR,2019,8276.85,119776.84,14449.102
United States,USA,2019,35583.277,527736.2,47787.188
United States Virgin Islands,VIR,2019,19.061176,109.27666,31.263128
Uruguay,URY,2019,789.32635,4864.129,733.27673
Uzbekistan,UZB,2019,6077.6294,22192.678,26749.01
Vanuatu,VUT,2019,63.53861,247.05081,54.430035
Venezuela,VEN,2019,3752.9536,16768.727,12383.936
Vietnam,VNM,2019,19085.412,97073.51,37456.71
Wales,,2019,491.8914,6812.7207,728.87256
Western Pacific Region (WHO),,2019,497730.88,2968825,1584920.9
World,OWID_WRL,2019,1304318.4,7693368,4140971
Yemen,YEM,2019,4466.699,17305.889,11281.991
Zambia,ZMB,2019,919.0534,4673.4204,2948.6475
Zimbabwe,ZWE,2019,1645.976,8838.247,2607.0251
